"임가번호","연령별","지역별","전/겸업별","업종별","가구원수별","임지규모별","임가소득","경상소득","임가순소득","임업소득","임외소득","이전소득","비경상소득","가계지출","소비지출","비소비지출","임가처분가능소득","임가경제잉여","임업총수입","임업경영비","겸업소득","겸업수입","겸업지출","사업외소득","사업외수입","사업외지출","재산적 수입","재산적 지출","경지면적_총합","자본","연초보유 현금","연말보유 현금","가중치"
2002,4,31,3,5,1,2,120124441,119324441,119324441,79042520,40281921,0,800000,41321830,35094240,6227590,113896851,78802611,80000000,957480,15647421,22305000,6657579,24634500,24634500,0,35600000,38855476,110000,699540850,1200196,1900000,14.5
2003,4,31,3,1,4,2,-1398749,-2198749,-2198749,-1639522,-559227,0,800000,48948652,43943289,5005363,-6404112,-50347401,0,1639522,-559227,15284119,15843346,0,0,0,2000000,7096000,16033,1499342200,1940100,1287300,61.4444444444444
2004,3,31,3,5,1,2,4327805,2699085,-2637465,-2309340,-328125,5336550,1628720,60402049,44884054,15517995,-11190190,-56074244,100000,2409340,-1622060,6110220,7732280,1293935,1293935,0,0,7778300,8350,1290610016,1499476,1839400,14.5
2005,4,31,3,2,2,3,45801120,44901120,31465120,572260,30892860,13436000,900000,34460514,29133514,5327000,40474120,11340606,850000,277740,30892860,35443800,4550940,0,0,0,6670000,28330000,24456.6,1263385169,1141369,1504600,120.733333333333
2006,4,31,3,2,1,3,34750611,34150611,21158526,14638088,6520438,12992085,600000,17446470,15751980,1694490,33056121,17304141,14724310,86222,6202877,7156506,953629,317561,317561,0,0,6610000,20000,430766460,4658340,1035900,125
2007,4,31,3,2,1,1,21968703,20560703,15793553,6209290,9584263,4767150,1408000,10741338,9927818,813520,21155183,11227365,6283000,73710,1944400,2645500,701100,7639863,7639863,0,797600,452450,6745,277137020,1677300,1470300,160
2008,5,31,3,6,1,1,33428918,12440268,11394287,8574747,2819540,1045981,20988650,42283925,38331505,3952420,29476498,-8855007,8808800,234053,1833480,5200750,3367270,986060,986060,0,2220000,4600000,300,785133416,2253716,1449900,26.375
2009,4,31,2,6,1,1,25866875,9616875,9416875,7759425,1657450,200000,16250000,46959379,39427438,7531941,18334934,-21092504,13600000,5840575,-1807550,0,1807550,3465000,3465000,0,6000000,5130000,500,988958305,1673875,1199300,26.375
2010,4,31,3,6,1,1,5642014,3842014,-1349456,-4479260,3129804,5191470,1800000,24461905,23011905,1450000,4192014,-18819891,26157200,30636460,-1087596,100000,1187596,4217400,4217400,0,501740,4000000,1500,937781092,4739592,1516800,26.375
2012,2,31,3,5,3,1,72480076,66687216,63891666,3169560,60722106,2795550,5792860,51618123,49518254,2099869,70380207,20861953,4238080,1068520,960265,1319250,358985,59761841,59761841,0,8800000,33908770,1572,215003922,2274022,1884000,107.166666666667
2013,3,31,3,5,4,3,41458350,38698350,38398350,9339350,29059000,300000,2760000,56870360,46943760,9926600,31531750,-15412010,9366000,26650,9178200,15613000,6434800,19880800,20605800,725000,1248000,6998000,20564,842143770,1268270,1336500,14.5
