"임가번호","연령별","지역별","전/겸업별","업종별","가구원수별","임지규모별","임가소득","경상소득","임가순소득","임업소득","임외소득","이전소득","비경상소득","가계지출","소비지출","비소비지출","임가처분가능소득","임가경제잉여","임업총수입","임업경영비","겸업소득","겸업수입","겸업지출","사업외소득","사업외수입","사업외지출","재산적 수입","재산적 지출","가중치"
4080,5,34,2,3,1,1,71884020,71828020,62604460,46617840,15986620,9223560,56000,12514595,11094595,1420000,70464020,59369425,48437710,1819870,15986620,19297800,3311180,0,0,0,5000000,8170000,65.9565217391304
4081,5,34,2,3,1,2,22791337,21291337,10916547,2171420,8745127,10374790,1500000,17207660,16537660,670000,22121337,5583677,2925670,754250,7224127,9304850,2080723,1521000,1521000,0,57115038,57790900,65.9565217391304
4082,5,34,2,3,1,1,30738112,30738112,17509162,16604865,904297,13228950,0,15414406,14847246,567160,30170952,15323706,17337500,732635,904297,1470000,565703,0,0,0,6500000,6330000,65.9565217391304
4083,4,34,2,6,1,1,28941850,28941850,23687300,24752130,-1064830,5254550,0,27467110,25708740,1758370,27183480,1474740,43200000,18447870,-1064830,0,1064830,0,0,0,44647117,18074000,33.5
4084,5,34,3,3,1,1,30703726,30703726,21073906,501455,20572451,9629820,0,21681820,18621820,3060000,27643726,9021906,2069000,1567545,-1333049,6258000,7591049,21905500,21905500,0,17972246,0,65.9565217391304
4085,4,34,3,3,1,1,102804015,100371315,86773315,70099150,16674165,13598000,2432700,33589040,29662400,3926640,98877375,69214975,79364750,9265600,341915,7138365,6796450,16332250,16847250,515000,4600000,19000000,65.9565217391304
4086,5,34,2,3,1,2,48204623,47804623,39655303,39589435,65868,8149320,400000,19186236,16191736,2994500,45210123,29018387,42700050,3110615,-251132,3116910,3368042,317000,317000,0,12124064,1100000,65.9565217391304
4088,4,34,2,7,1,4,158000670,156700670,151216670,127210820,24005850,5484000,1300000,45986185,39112735,6873450,151127220,112014485,155836800,28625980,23255850,45993500,22737650,750000,750000,0,44160800,89270000,65.9565217391304
4089,5,34,2,6,1,1,35182627,34005875,22081675,22529115,-447440,11924200,1176752,28156756,26471206,1685550,33497077,7025871,24821400,2292285,-767440,1834800,2602240,320000,320000,0,11208188,4200000,33.5
4090,3,34,3,3,3,1,98489641,67365886,54740456,15984925,38755531,12625430,31123755,54457639,50119849,4337790,94151851,44032002,19358260,3373335,38085570,45960761,7875191,669961,669961,0,15134730,8592641,65.9565217391304
4091,4,34,3,8,1,1,90526696,80576230,72688910,-11766413,84455323,7887320,9950466,46593360,39321360,7272000,83254696,43933336,24302668,36069081,53856037,73488360,19632323,30599286,32095366,1496080,43143423,18655868,190.416666666667
4092,4,34,2,7,1,2,12625945,10755945,5955945,2790445,3165500,4800000,1870000,13691969,12912819,779150,11846795,-1066024,7317600,4527155,1455500,1650000,194500,1710000,1710000,0,2000000,10250000,30.8888888888889
4093,5,34,2,3,1,1,38595318,32595318,21273058,4503882,16769176,11322260,6000000,22877220,20121190,2756030,35839288,15718098,7173940,2670058,10528676,17590300,7061624,6240500,6240500,0,4400000,13863396,65.9565217391304
4094,4,34,2,3,1,3,33520969,25460391,18569911,11064569,7505342,6890480,8060578,44666662,28241712,16424950,17096019,-11145693,16701957,5637388,5130579,9715838,4585259,2374763,2374763,0,93186080,87026469,65.9565217391304
4095,5,34,3,3,1,2,50617057,49792057,46815257,42292202,4523055,2976800,825000,12206932,10771122,1435810,49181247,38410125,44920148,2627946,3454155,5107045,1652890,1068900,1068900,0,180290000,180500000,65.9565217391304
4096,5,34,2,3,1,1,29706120,28406120,5037520,5145450,-107930,23368600,1300000,26867205,23022205,3845000,25861120,2838915,6306300,1160850,-107930,992500,1100430,0,0,0,3381400,0,65.9565217391304
4098,4,34,2,3,1,3,18884360,18884360,17384360,13124060,4260300,1500000,0,21312080,15254840,6057240,12827120,-2427720,19293000,6168940,4260300,6460000,2199700,0,0,0,9183446,0,65.9565217391304
4099,4,34,2,3,1,1,59735634,59735634,57485634,4175566,53310068,2250000,0,25547233,21063352,4483881,55251753,34188401,28600000,24424434,53310068,87200000,33889932,0,0,0,66387335,2646136,65.9565217391304
4100,4,34,2,8,2,1,-4080582,-6963582,-6963582,-8259432,1295850,0,2883000,34940780,28213600,6727180,-10807762,-39021362,2400000,10659432,1295850,8775000,7479150,0,0,0,13244850,520000,186
4101,4,34,2,6,5,1,72174441,71098199,65993429,44608049,21385380,5104770,1076242,34776586,32962646,1813940,70360501,37397855,196388802,151780753,21385380,21714960,329580,0,0,0,5500000,78000000,33.5
4102,2,34,3,3,4,1,86201839,76376092,69723642,4785987,64937655,6652450,9825747,45104202,43240402,1863800,84338039,41097637,7257510,2471523,63425655,112884998,49459343,1512000,1512000,0,34937530,8379690,65.9565217391304
4103,4,34,3,8,3,3,82858264,82858264,71474264,26262260,45212004,11384000,0,35652117,32886107,2766010,80092254,47206147,30000000,3737740,45212004,50655000,5442996,0,0,0,20100000,2600000,190.416666666667
4104,4,34,2,8,1,1,6161342,6161342,6161342,5635842,525500,0,0,11336550,9573400,1763150,4398192,-5175208,15450000,9814158,525500,5350000,4824500,0,0,0,15000000,225000,190.416666666667
4105,3,34,2,3,2,5,308572761,308572761,308572761,272502788,36069973,0,0,39696932,30852912,8844020,299728741,268875829,453126950,180624162,36069973,52829093,16759120,0,0,0,110191200,254418000,65.9565217391304
