"fno_임가_번호","age_연령별","ara1_지역별","de2_전/겸업별","jong_업종별","de2_1_가구원수별","ffsize_임지규모별","FOI_임가소득","OI_경상소득","FONP_임가순소득","FMI_임업소득","EFMI_임업외소득","TI_이전소득","NOI_비경상소득","HE_가계지출","CE_소비지출","NLE_비소비지출","FODI_임가처분가능소득","FOES_임가경제잉여","FMGR_임업총수입","FMOC_임업경영비","SJI_겸업소득","SJR_겸업수입","SJE_겸업지출","NBI_사업외소득","NBR_사업외수입","NBE_사업외지출","PR_재산적수입","PE_재산적지출","capt_b_기초_자본(순재산)","capt_e_기말_자본(순재산)","a00011_연초보유","a00012_연말보유","wt21_가중치"
1078,5,32,3,8,1,1,43105363.5,41796686,36996686,34489160,2507526,4800000,1308677.5,18817923,15317923,3500000,39605363.5,24287440.5,37604010,3114850,2245000,8485000,6240000,262526,262526,0,20393262,27050000,42550662,38235200,1439700,1672200,180.869565217391
1079,5,32,2,8,1,1,7888175,7888175,-3763825,-1259450,-2504375,11652000,0,11007700,10463700,544000,7344175,-3119525,575000,1834450,-2504375,0,2504375,0,0,0,6200000,955000,692130300,674593480,1615900,1550980,180.869565217391
1080,5,32,3,8,1,1,46188470.8,44495135,40274615,3278950,36995665,4220520,1693335.8,15228807,14368807,860000,45328470.8,30959663.8,3606000,327050,33401210,42242635,8841425,3594455,3594455,0,0,5290000,1162017100,1155540367,1514800,1877067,180.869565217391
1082,4,32,2,8,1,3,-16748450,-16748450,-16748450,-19276705,2528255,0,0,41633622,38989522,2644100,-19392550,-58382072,19492470,38769175,1828255,6345400,4517145,700000,700000,0,2370000,63059000,1143124100,1170290752,1598300,1576552,193.4375
1083,3,32,2,8,2,4,1246060,1246060,1246060,1448220,-202160,0,0,21518481,20184861,1333620,-87560,-20272421,2659200,1210980,-202160,781500,983660,0,0,0,0,3500000,301113400,293640110,1300300,1627010,193.4375
1084,4,32,3,8,1,1,33054464,31640974,27353544,223920,27129624,4287430,1413490,26624123,22210576,4413547,28640917,6430341,5038090,4814170,5260960,6925000,1664040,21868664,21868664,0,11350000,3651432,4925173900,4897541127,1373800,1466427,193.4375
1085,3,32,2,8,1,1,13488570,13488570,13488570,12960870,527700,0,0,49179990,34710460,14469530,-980960,-35691420,30972500,18011630,527700,6320000,5792300,0,0,0,8700000,200000,127764000,104326300,1720500,1472800,180.869565217391
1086,4,32,2,8,2,1,-4945078,-4945078,-8173098,-3712127,-4460971,3228020,0,36732875,35818445,914430,-5859508,-41677953,6294600,10006727,-4760971,5450000,10210971,300000,300000,0,0,13151958,543007300,517338815,1479200,1662115,193.4375
1087,5,32,3,7,1,2,-4938300,-4938300,-7338300,-7043300,-295000,2400000,0,7739400,7452400,287000,-5225300,-12677700,-2800000,4243300,-295000,0,295000,0,0,0,0,3500000,259088200,243231300,1480600,1732500,90.3888888888889
1088,4,32,3,7,3,3,32014166,32014166,25381226,-110120,25491346,6632940,0,28209376,24129006,4080370,27933796,3804790,0,110120,25491346,32907200,7415854,0,0,0,11000000,556000,1439505600,1398710950,1693700,1976850,90.3888888888889
1089,4,32,3,5,1,2,35051172,35051172,26878562,0,26878562,8172610,0,33996279,31924799,2071480,32979692,1054893,0,0,26240521,33328276,7087755,638041,638041,0,0,14000000,874705800,856041410,1447600,1546210,14.5
1090,3,32,3,5,2,1,8026700,8026700,8026700,-2083300,10110000,0,0,19511100,16435100,3076000,4950700,-11484400,0,2083300,10110000,51150000,41040000,0,0,0,0,8500000,85084300,81373200,1313900,1536000,14.5
1091,5,32,1,1,1,2,6280000,6280000,-20000,0,-20000,6300000,0,5999300,5999300,0,6280000,280700,0,0,-20000,0,20000,0,0,0,0,1500000,396740500,389282700,1511500,1562000,49.1111111111111
1092,4,32,3,1,2,4,6601000,6601000,6601000,0,6601000,0,0,14038800,12488800,1550000,5051000,-7437800,0,0,6601000,6796000,195000,0,0,0,0,8500000,754988200,748933500,1334800,1439000,69.125
1093,3,32,2,8,1,1,30696265,28356265,26865555,-1222866,28088421,1490710,2340000,42611303,40464738,2146565,28549700,-11915038,13911660,15134526,26426611,40205526,13778915,1661810,1661810,0,200000,5200000,130640400,118258710,1810800,2569410,193.4375
1094,4,32,1,1,1,5,17556900,17556900,17556900,15046900,2510000,0,0,36846500,35184500,1662000,15894900,-19289600,33600000,18553100,-490000,0,490000,3000000,3000000,0,2500000,0,1658889000,1647184900,1425000,1574000,69.125
1095,4,32,1,7,1,1,2775000,2775000,-25000,0,-25000,2800000,0,11281800,11281800,0,2775000,-8506800,0,0,-25000,0,25000,0,0,0,700000,0,866501100,859026600,1309100,1529000,90.3888888888889
1096,3,32,3,7,1,1,21703350,21703350,21703350,8203350,13500000,0,0,76077450,69761650,6315800,15387550,-54374100,12000000,3796650,13500000,30000000,16500000,0,0,0,0,2000000,3052890700,3021974600,2626800,1544000,90.3888888888889
1097,4,32,3,5,1,1,2849800,2849800,349800,-15700,365500,2500000,0,11007200,11007200,0,2849800,-8157400,300000,315700,365500,708500,343000,0,0,0,0,0,709079600,1002926500,2259100,2394000,107.166666666667
