STN,연도,평균기온,최저기온평균,최고기온평균,연강수량,연일조시간,관측일수,평균습도,연일사량,연증발량,연안개시간,지중온도_05m,생육기평균기온,생육기강수량,서리일수,초상서리일수,개화기저온일수,폭염일수,호우일수
102.0,2019,12.07945205479452,9.323835616438355,15.326849315068493,595.4,2386.5,365,74.93095890410959,5643.82,1365.2,410.31,,17.82803738317757,436.2,51,116,1,0,1
102.0,2020,12.162568306010929,9.747267759562842,15.008196721311476,1258.4,2178.2,366,76.4879781420765,5397.46,1287.5,514.18,,17.485981308411215,1135.7,35,107,0,0,2
102.0,2021,12.6260989010989,9.801648351648351,15.808219178082192,1119.8,2229.3,365,73.88712328767123,5425.09,1381.4,349.72,,18.476635514018692,924.1,52,99,0,0,2
102.0,2022,11.81972602739726,9.20109589041096,14.84904109589041,1020.6999999999999,2215.4,365,72.50821917808219,5520.39,1403.5,429.87,,17.907943925233646,868.1999999999999,72,122,0,0,1
102.0,2023,12.555342465753425,9.915890410958905,15.630684931506849,938.0,2213.8,365,75.18054794520549,5551.32,1384.7,430.36,,18.88785046728972,713.8,58,105,0,0,1
102.0,2024,13.23551912568306,10.616939890710382,16.370218579234972,857.9,2307.1,366,72.45167597765364,5662.81,1448.0,369.44,,19.430841121495327,680.8,53,73,0,0,1
104.0,2019,13.654794520547945,9.447123287671232,17.989315068493152,1569.7,2458.2,365,59.501095890410966,5053.56,1445.7,8.58,14.112362637362637,19.47196261682243,1365.6000000000001,65,128,3,7,4
104.0,2020,13.082513661202185,8.885792349726776,17.490163934426228,1801.7,2422.5,366,61.7967032967033,5063.71,1372.4,34.33,14.289344262295081,18.521962616822428,1573.1,69,134,1,7,5
104.0,2021,13.126849315068494,8.863561643835617,17.521643835616437,1392.4,2409.4,365,64.74438356164384,5172.85,1317.3,32.94,14.5,18.892056074766355,1199.9,71,117,2,1,3
104.0,2022,13.21041095890411,9.07741046831956,17.574794520547947,1528.7,2457.7,365,61.96191780821918,5293.79,1377.7,18.24,14.086027397260272,19.52523364485981,1366.3,75,117,2,6,2
104.0,2023,13.969041095890411,9.916528925619835,18.301917808219176,1634.1,2438.8,365,63.41835616438356,5301.27,1398.7,38.65,14.504683195592285,20.075233644859814,1168.8,69,116,0,8,3
104.0,2024,14.25,10.253551912568307,18.488524590163934,1450.1,2366.3,366,66.95546448087431,5133.17,1315.4,5.76,14.474043715846994,20.912616822429907,1115.8,81,117,0,14,2
105.0,2019,14.771232876712329,10.80027397260274,19.464109589041094,1670.5,2559.8,365,56.35698630136986,5459.75,1751.9,0.0,15.255769230769232,20.79532710280374,1476.8,45,100,1,20,4
105.0,2020,14.306284153005466,10.473224043715847,18.62704918032787,1812.9,2248.3,366,60.71420765027323,5151.77,1549.7,0.0,15.180327868852459,19.915420560747663,1572.2,35,96,1,16,4
105.0,2021,14.626301369863015,10.53041095890411,19.263561643835615,1316.4,2172.3,365,62.003013698630134,5180.95,1517.6,0.0,15.342191780821917,20.615420560747662,1120.9,54,82,0,11,2
105.0,2022,14.78876712328767,10.694794520547944,19.34849315068493,1465.5,2314.6,365,58.841369863013696,5216.62,1595.7,0.0,15.098904109589043,21.44485981308411,1291.7,72,107,0,16,2
105.0,2023,15.514246575342465,11.442465753424658,20.042191780821916,1568.3,2341.4,365,60.03232876712329,5011.09,1578.1,0.0,15.663911845730027,21.695794392523364,1172.9,53,97,0,21,3
105.0,2024,15.313424657534245,11.624590163934426,19.493715846994537,1400.2,2261.3,366,64.45424657534247,4897.47,1477.7,0.0,15.121597633136096,22.25211267605634,1062.3,56,85,0,35,2
106.0,2019,13.452054794520548,9.613972602739725,17.426301369863015,1532.8,2400.6,365,62.809315068493156,0.0,0.0,0.0,,18.768691588785046,1340.7,54,116,3,3,3
106.0,2020,12.964207650273224,9.333606557377049,16.884153005464483,1322.4,2387.0,366,64.29918032786885,0.0,0.0,0.0,,17.97056074766355,1088.7,45,113,1,0,3
